Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Sacramento/South Lake Tahoe Connector Bus – El Dorado Schedule,Sacramento/South Lake Tahoe Connector Bus,El Dorado Schedule,GTFS Schedule,primary,,commuter,"fixed-route,reservations",El Dorado County Transit Authority,El Dorado County Transit Authority,"El Dorado County Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,,Needed - Special service,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip,1 checked out of 1,Core,
MTS Rapid – San Diego Schedule,MTS Rapid,San Diego Schedule,GTFS Schedule,primary,,,fixed-route,San Diego Metropolitan Transit System,San Diego Transit Corporation,San Diego Metropolitan Transit System,,GTFS Schedule,NA,Unknown,,,,,,"201,202,204,215,225,237,237,280,290",,https://www.sdmts.com/google_transit_files/google_transit.zip,1 checked out of 1,Core,
Wasco Dial-a-Ride – Wasco DAR Schedule,Wasco Dial-a-Ride,Wasco DAR Schedule,GTFS Schedule,primary,,,"ADA paratransit,reservations,on-demand",City of Wasco,City of Wasco,California Integrated Travel Project,California Integrated Travel Project,GTFS Schedule,NA,,DRMT - Published,,,,,,,https://gtfs.calitp.org/WascoDialaRideFlex.zip,1 checked out of 1,Core,
Southwest Chief – Amtrak Schedule,Southwest Chief,Amtrak Schedule,GTFS Schedule,primary,,,"fixed-route,reservations",Amtrak,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,,,,,,,,,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Other Public Transit,
Surfliner – Amtrak Schedule,Surfliner,Amtrak Schedule,GTFS Schedule,primary,,,"reservations,fixed-route",Amtrak,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,,,,,,,,,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Other Public Transit,
Sunset Limited – Amtrak Schedule,Sunset Limited,Amtrak Schedule,GTFS Schedule,primary,,,"fixed-route,reservations",Amtrak,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,,,,,,,,,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Other Public Transit,
Yuba-Sutter Rural Transit – Yuba-Sutter Schedule,Yuba-Sutter Rural Transit,Yuba-Sutter Schedule,GTFS Schedule,primary,,rural,"on-demand,deviated fixed-route,reservations",Yuba-Sutter Transit Authority,Yuba-Sutter Transit Authority,"Yuba-Sutter Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip,1 checked out of 1,Core,
Sacramento Express – Yuba-Sutter Schedule,Sacramento Express,Yuba-Sutter Schedule,GTFS Schedule,primary,,Sacramento,fixed-route,Yuba-Sutter Transit Authority,Yuba-Sutter Transit Authority,"Yuba-Sutter Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip,1 checked out of 1,Core,
Yuba College Sutter Campus Shuttle – Yuba-Sutter Schedule,Yuba College Sutter Campus Shuttle,Yuba-Sutter Schedule,GTFS Schedule,primary,,shuttle,fixed-route,Yuba-Sutter Transit Authority,,"Yuba-Sutter Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip,1 checked out of 1,Core,
Tehama Rural Area eXpress – Tehama Schedule,Tehama Rural Area eXpress,Tehama Schedule,GTFS Schedule,primary,21,,"deviated fixed-route,fixed-route",Tehama County,Tehama County,"Trillium Inc.,Susanville Indian Rancheria,Tehama County",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,1 checked out of 1,Core,
Watsonville Circulator – Santa Cruz Schedule,Watsonville Circulator,Santa Cruz Schedule,GTFS Schedule,primary,,free,fixed-route,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,,GTFS Schedule,NA,Provider to Publish,,,,,we delivered the spec and draft data to their IT team who will own publishing/maintenance,,,http://scmtd.com/google_transit/google_transit.zip,1 checked out of 1,Core,
OmniTrans sbX – OmniTrans Schedule,OmniTrans sbX,OmniTrans Schedule,GTFS Schedule,primary,,,fixed-route,OmniTrans,OmniTrans,OmniTrans,,GTFS Schedule,NA,Unknown,,,,,"Trapeze offered to make an intro, after a pilot with SacRT",10330,,http://www.omnitrans.org/google/google_transit.zip,1 checked out of 1,Core,
Morro Bay Trolley – Morro Bay Schedule,Morro Bay Trolley,Morro Bay Schedule,GTFS Schedule,primary,,,"fixed-route,seasonal",City of Morro Bay,City of Morro Bay,City of Morro Bay,Transnnovation Inc,GTFS Schedule,NA,Unknown,,,,,Ruth reached out to vendor and offered to create data: marcy@mjcaction.com. The vendor is not enthusiastic.,*,,http://mjcaction.com/MJC_GTFS_Public/morrobay_google_transit.zip,1 checked out of 1,Other Public Transit,
Mammoth Lakes Buses – Eastern Sierra Schedule,Mammoth Lakes Buses,Eastern Sierra Schedule,GTFS Schedule,primary,,,fixed-route,Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,"Eastern Sierra Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,"764,765,766,767,769",,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1 checked out of 1,Core,
Calabasas Shuttle – Calabasas Schedule,Calabasas Shuttle,Calabasas Schedule,GTFS Schedule,primary,,,fixed-route,City of Calabasas,City of Calabasas,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,,,,GTFS Schedule Creation,Get into google,,*,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/calabasas-ca-us/calabasas-ca-us.zip,1 checked out of 1,Core,
Camarillo Area Transit – Camarillo Schedule,Camarillo Area Transit,Camarillo Schedule,GTFS Schedule,primary,,,fixed-route,City of Camarillo,City of Camarillo,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,,Ask VCTC to own,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,16744,,http://data.trilliumtransit.com/gtfs/camarillo-ca-us/camarillo-ca-us.zip,1 checked out of 1,Core,
Los Angeles County Wellness Center Shuttle – LADPW Schedule,Los Angeles County Wellness Center Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13061,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link-Athens – LADPW Schedule,the Link-Athens,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13062,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link-Baldwin Hills Parklands – LADPW Schedule,the Link-Baldwin Hills Parklands,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13063,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link Florence-Firestone/Walnut Park – LADPW Schedule,the Link Florence-Firestone/Walnut Park,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13065,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link King Medical Center – LADPW Schedule,the Link King Medical Center,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13066,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link Lennox – LADPW Schedule,the Link Lennox,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13067,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
El Monte Transit – El Monte Schedule,El Monte Transit,El Monte Schedule,GTFS Schedule,primary,,,fixed-route,City of El Monte,City of El Monte,"Trillium Inc.,City of El Monte",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,*,,http://data.trilliumtransit.com/gtfs/elmonte-ca-us/elmonte-ca-us.zip,1 checked out of 1,Core,
UCLA/Westwood Commuter Express – Long Beach Schedule,UCLA/Westwood Commuter Express,Long Beach Schedule,GTFS Schedule,primary,,,fixed-route,Long Beach Transit,Long Beach Transit,Long Beach Transit,Long Beach Transit,GTFS Schedule,NA,,,,,,"Is interested, but asked for us to engage them in November. Ruth sent them their completed data in advance.",405,,https://lbtransit.box.com/shared/static/aoyeskwmsa9g7pyg78q3xuioi0lgqe4f.zip,1 checked out of 1,Core,
MST Senior Shuttles – Monterey Salinas Schedule,MST Senior Shuttles,Monterey Salinas Schedule,GTFS Schedule,primary,,,fixed-route,Monterey-Salinas Transit,Monterey-Salinas Transit,Monterey-Salinas Transit,,GTFS Schedule,NA,,,,,,"We gave them the data in October. They need help thinking through how to publish it, and confirm its accuracy.","091,092,093,094,095",,http://www.mst.org/google/google_transit.zip,1 checked out of 1,Core,
